date	pieacoulisse	Miaimbouchon	BOUCENNA
2021-09-01	370.0	0.0	0.0
2021-09-02	370.0	0.0	0.0
2021-09-03	370.0	0.0	0.0
2021-09-04	370.0	0.0	0.0
2021-09-05	370.0	0.0	0.0
2021-09-06	370.0	0.0	0.0
2021-09-07	370.0	0.0	0.0
2021-09-08	370.0	0.0	0.0
2021-09-09	370.0	0.0	0.0
2021-09-10	370.0	0.0	0.0
2021-09-11	370.0	0.0	0.0
2021-09-12	370.0	0.0	0.0
2021-09-13	370.0	0.0	0.0
2021-09-14	370.0	0.0	0.0
2021-09-15	370.0	0.0	0.0
2021-09-16	370.0	0.0	0.0
2021-09-17	370.0	0.0	0.0
2021-09-18	370.0	0.0	0.0
2021-09-19	370.0	0.0	0.0
2021-09-20	370.0	0.0	0.0
2021-09-21	370.0	0.0	0.0
2021-09-22	370.0	0.0	0.0
2021-09-23	370.0	0.0	0.0
2021-09-24	370.0	0.0	0.0
2021-09-25	370.0	0.0	0.0
2021-09-26	370.0	0.0	0.0
2021-09-27	370.0	0.0	0.0
2021-09-28	370.0	0.0	0.0
2021-09-29	370.0	0.0	0.0
2021-09-30	370.0	0.0	0.0
2021-10-01	370.0	0.0	0.0
2021-10-02	370.0	0.0	0.0
2021-10-03	370.0	0.0	0.0
2021-10-04	370.0	0.0	0.0
2021-10-05	370.0	0.0	0.0
2021-10-06	370.0	0.0	0.0
2021-10-07	370.0	0.0	0.0
2021-10-08	370.0	0.0	0.0
2021-10-09	370.0	0.0	0.0
2021-10-10	370.0	0.0	0.0
2021-10-11	370.0	0.0	0.0
2021-10-12	370.0	0.0	0.0
2021-10-13	370.0	0.0	0.0
2021-10-14	370.0	0.0	0.0
2021-10-15	370.0	0.0	0.0
2021-10-16	370.0	0.0	0.0
2021-10-17	370.0	0.0	0.0
2021-10-18	370.0	0.0	0.0
2021-10-19	370.0	0.0	0.0
2021-10-20	370.0	0.0	0.0
2021-10-21	370.0	0.0	0.0
2021-10-22	370.0	0.0	0.0
2021-10-23	370.0	0.0	0.0
2021-10-24	370.0	0.0	0.0
2021-10-25	370.0	0.0	0.0
2021-10-26	370.0	0.0	0.0
2021-10-27	370.0	0.0	0.0
2021-10-28	370.0	0.0	0.0
2021-10-29	370.0	0.0	0.0
2021-10-30	370.0	0.0	0.0
